id,cp,latitude,longitude
67033001,67200,4859100,769400
27940003,27940,4916700,133700
69700012,69700,4557100,471100
32300003,32300,4351700,41400
92130006,92130,4882784.166,227133.643
34500025,34500,4335448,322184
26600013,26600,4501933,487541
85200005,85200,4645100,-80800
14100009,14100,4913800,17200
78370001,78370,4882700,194800
70270001,70270,4774964,656445
28190003,28190,4845000,125400
6200031,06200,4366500,720100
62250005,62250,5081660,170267
30380002,30380,4407300,408100
48400003,48400,4432800,359200
70190004,70190,4743172.4583155,606797.9176712
62310003,62310,5051600,212500
81320002,81230,4371230.3581268,270691.04680224
34500032,34500,4335832.1,324379.9
56760003,56760,4748200,-247100
6100006,06100,4372400,725600
29360002,29360,4779800,-358000
72360002,72360,4776200,27500
2100018,02100,4984200,328400
19510002,19510,4554068,152039
94537002,94537,4875000,238900
71300013,71300,4669100,435500
69800013,69800,4570200,497400
28500011,28500,4867700.3,133127.2
10200002,10200,4823800,470100
71360002,71360,4698911.2,452318.2
52130002,52130,4849600,494500
69330002,69330,4579600,504800
20240002,20240,4202100,940900
3190006,03190,4653156.6352067,262216.61835718
78700011,78700,4899500,208100
63170007,63170,4575000,313300
81310001,81310,4385000,179700
78710005,78710,4899200,163200
64500003,64500,4340300,-162700
60370002,60370,4935200,223900
46600002,46600,4493612,160076
58500001,58500,4745700,350900
40280006,40280,4386700,-48500
70320004,70320,4788097.1641219,630620.25541455
6510003,06510,4376400,720000
93150012,93150,4892800,247400
57850001,57850,4867600,720200
31600008,31600,4343000,122300
59790001,59790,5060020.88404,308413.548938
74130006,74130,4608400,640400
68460001,68460,4776800,725200
48200007,48200,4487100,325300
3390005,03390,4633200,297400
59320001,59320,5062600,296700
47500007,47500,4447600,95100
19600001,19270,4519500,154200
67590002,67590,4881500,774000
71850001,71850,4630944,481183
42470004,42470,4595000,420400
84200010,84200,4405991.5395231,507042.85376765
95230008,95230,4898690,229595
42220006,42220,4529800,457400
82210006,82210,4404100,100400
51340003,51340,4876891.6720338,484407.3806546
50180001,50180,4910800,-113400
56910001,56910,4781400,-213100
76590002,76590,4979545,110615
85120002,85120,4664000,-75400
77370003,77370,4855000,300000
57140005,57140,4915000,618500
59253001,59253,5063346.09022,271151.365692
8000011,08000,4973281.6065014,475309.17036167
20213007,20213,4244623.3267193,950772.97779457
50540001,50540,4860100,-120200
19100016,19100,4515600,151800
73160003,73210,4555200,664800
8170005,08170,4999467.113949,469713.76513648
59179002,59179,5036600,330000
74300009,74300,4601500.715,662468.959
78420004,78420,4890400,216700
76250004,76250,4947837,104736.1
64240004,64240,4338500,-129700
78600002,78600,4894500,214300
10160001,10160,4821600,374100
59184002,59184,5056437.216,289924.34
67170010,67170,4872400,769100
17220003,17220,4615054.29,-107654.119
34190002,34190,4392689,372100
63114003,63114,4564200,318400
56140002,56140,4780535.13848,-240226.431601
77690001,77690,4833600,273200
93110005,93110,4887800,248200
49700001,49700,4719000,-29100
35160002,35160,4813900,-193900
44300020,44300,4726000,-157600
34220002,34220,4348800,276400
