id,cp,ville,adresse,latitude,longitude,enseigne,gazole,e10,sp98,tendance_gazole,tendance_e10,tendance_sp98,tendance_demain_gazole,confiance_demain_gazole,tendance_demain_e10,confiance_demain_e10,tendance_demain_sp98,confiance_demain_sp98
7380002,07380,LALEVADE-D'ARDèCHE,Allée de Vals,44.6506233,4.323144,Intermarché,1.818,1.865,1.943,baisse,hausse,baisse,stable,1,stable,1,stable,1
38490013,38490,les abrets en dauphine,556 rue gambetta,45.53252,5.586953,Avia,1.959,1.969,1.998,egal,egal,egal,stable,1,stable,1,stable,1
63360003,63360,GERZAT,Rue des Martyrs,45.8193725,3.1493675,Intermarché,1.899,1.878,1.989,egal,egal,egal,stable,1,stable,1,stable,1
25310001,25310,BLAMONT,32  GRANDE RUE,47.391115,6.847145,Carrefour Contact,1.889,,1.999,egal,,egal,stable,1,stable,1,stable,1
86000021,86000,Poitiers,"70, avenue John Kennedy",46.5875543,0.3638226,Avia,1.969,1.999,2.099,egal,egal,egal,stable,1,stable,1,stable,1
30160002,30160,BESSEGES,Sauvegarde,44.287,4.11,La Sauvegarde,1.899,,1.990,egal,,egal,stable,1,stable,1,stable,1
31190002,31190,AUTERIVE,RN20,43.348381,1.472038,Netto,1.835,1.839,1.949,egal,egal,egal,stable,1,stable,1,stable,1
55700006,55700,STENAY,AVENUE DE VERDUN,49.4907081,5.1931204,Intermarché,1.865,,2.021,egal,,egal,stable,1,stable,1,stable,1
33640002,33640,PORTETS,43 Route des Graves,44.688,-0.417,Total,1.990,,1.990,baisse,,egal,stable,1,stable,1,stable,1
21510001,21510,AIGNAY-LE-DUC,9 Rue d'Archeron,47.663975,4.729923,Avia,1.929,,,egal,,,stable,1,stable,1,stable,1
58000010,58000,NEVERS,10 Boulevard Pierre de Coubertin,46.987,3.162,Esso,1.879,1.899,2.019,hausse,hausse,hausse,stable,1,stable,1,stable,1
6580001,06580,PéGOMAS,87 Route de la Fènerie,43.592,6.93,Super U,1.859,1.869,1.929,egal,egal,egal,stable,1,stable,1,stable,1
53140001,53140,PRé-EN-PAIL,zone Normandie Maine,48.459277,-0.201908,U,1.845,1.874,1.999,hausse,egal,egal,stable,1,stable,1,stable,1
39700013,39700,ROCHEFORT SUR NENON,ROUTE NATIONALE 73,47.116137,5.538522,Total Access,1.872,1.861,1.981,hausse,baisse,baisse,stable,1,stable,1,stable,1
94800008,94800,VILLEJUIF,60 AV DE STALINGRAD,48.785418,2.3666,Total Access,1.904,,,hausse,baisse,egal,stable,1,stable,1,stable,1
13170013,13170,LES PENNES MIRABEAU,RN 113,43.411139,5.30966,Eni,1.949,1.949,2.049,egal,egal,egal,stable,1,stable,1,stable,1
29510005,29170,Saint-Évarzec,Rue d'Armor,47.9353254,-4.0208982,Intermarché,1.853,1.863,1.973,hausse,hausse,hausse,stable,1,stable,1,stable,1
62180002,62180,RANG-DU-FLIERS,LA FOLIE NORD,50.414143,1.6092676,Intermarché,1.836,1.851,1.953,egal,egal,egal,stable,1,stable,1,stable,1
33340001,33340,Lesparre-Médoc,25 COURS GEORGES MANDEL,45.3110571,-0.9395376,Carrefour,1.959,1.956,1.990,hausse,baisse,egal,stable,1,stable,1,stable,1
33760002,33760,TARGON,Route de Bordeaux,44.7356835,-0.2670073,Carrefour,1.875,,1.999,hausse,,baisse,stable,1,stable,1,stable,1
38500006,38500,VOIRON,7 RUE DE L'INDUSTRIE,45.35872,5.5921749,TotalEnergies,1.864,1.856,1.972,egal,egal,egal,stable,1,stable,1,stable,1
76240001,76240,BONSECOURS,rue Etienne ACHAVANNE,49.418,1.133,Super U,1.839,1.869,1.969,egal,egal,egal,stable,1,stable,1,stable,1
42100005,42100,Saint-Étienne,36 Rue de Terrenoire,45.43331,4.4161793,Esso Express,1.863,1.853,1.933,hausse,baisse,baisse,stable,1,stable,1,stable,1
43000004,43000,Le Puy-en-Velay,106 Avenue Maréchal Foch,45.033,3.886,Esso Express,1.867,1.869,1.958,hausse,egal,baisse,stable,1,stable,1,stable,1
20129001,20129,BASTELICACCIA,SUARALTA,41.924,8.825,Vito,1.929,,,egal,,,stable,1,stable,1,stable,1
38200019,38200,Vienne,2 RUE DU COLONEL ARNAUD BELTRAME,45.502489,4.850513,Monoprix,1.829,,1.969,egal,,egal,stable,1,stable,1,stable,1
44260003,44260,Malville,Rue des Musiciens,47.35931,-1.86116,Système U,1.889,,1.979,egal,,egal,stable,1,stable,1,stable,1
45100008,45100,Orléans,39 AV .J.F.KENNEDY,47.84264,1.92524,Relais Orléans La Source,1.852,1.848,1.968,hausse,baisse,baisse,stable,1,stable,1,stable,1
55200004,55200,Commercy,1 rue Jean Moulin,48.7546556,5.5881169,Intermarché,1.883,1.899,2.010,egal,egal,egal,stable,1,stable,1,stable,1
74350006,74350,CRUSEILLES,363 ROUTE D'ANNECY,46.0295221,6.1057577,Avia,1.969,2.009,2.059,egal,egal,egal,stable,1,stable,1,stable,1
46300004,46300,GOURDON,Route de Fumel,44.726,1.373,Intermarché,1.849,1.859,1.979,egal,egal,egal,stable,1,stable,1,stable,1
71600003,71600,PARAY-LE-MONIAL,Parc d'activités de Champ Bossu,46.467142,4.113163,E.Leclerc,1.839,1.879,1.985,egal,egal,egal,stable,1,stable,1,stable,1
88600001,88600,Laval-sur-Vologne,500 ROUTE DE LEPANGES,48.188,6.688,Total,1.940,,,egal,,,stable,1,stable,1,stable,1
67310003,67310,Wasselonne,58 Route de Hohengoeft,48.646,7.453,E.Leclerc,1.844,1.853,1.925,hausse,hausse,egal,stable,1,stable,1,stable,1
26290008,26290,DONZERE,280 avenue Jean Moulin RN7,44.4328123,4.7125563,Super U,1.849,1.859,,egal,egal,,stable,1,stable,1,stable,1
64100010,64100,Bayonne,22 Chemin d'Arancette,43.483,-1.488,Carrefour,1.998,,1.966,egal,,egal,stable,1,stable,1,stable,1
51000005,51000,Châlons-en-Champagne,ROUTE D'EPERNAY,48.955,4.332,Esso Express,1.879,1.873,1.962,hausse,baisse,baisse,stable,1,stable,1,stable,1
30000016,30900,NîMES,120 Chemin du Mas Fléchier,43.815228,4.369349,E.Leclerc,1.829,1.849,,hausse,hausse,,stable,1,stable,1,stable,1
70000001,70000,VESOUL,Boulevard Kennedy,47.627,6.172,Carrefour,1.851,1.901,1.971,egal,egal,egal,stable,1,stable,1,stable,1
57430004,57430,SARRALBE,97 Route de Strasbourg,48.987,7.028,Total,1.990,1.973,,hausse,baisse,,stable,1,stable,1,stable,1
52100008,52100,Saint-Dizier,ROUTE DE VITRY,48.64166,4.9074212,Esso,1.836,1.916,2.017,baisse,egal,egal,stable,1,stable,1,stable,1
66700003,66700,ARGELèS-SUR-MER,Avenue du 8 mai 1945,42.55,3.041,Dyneff,1.949,,2.039,egal,,egal,stable,1,stable,1,stable,1
54450002,54450,AVRICOURT,11 GRANDE RUE,48.644,6.806,Elan,1.980,,,egal,,,stable,1,stable,1,stable,1
6600008,06600,Antibes,20 Boulevard Maréchal Leclerc,43.574,7.124,Esso Express,1.848,1.858,1.938,baisse,baisse,baisse,stable,1,stable,1,stable,1
54240002,54240,Joeuf,96 Rue de Franchepré,49.225,6.014,Esso Express,1.893,1.898,2.068,egal,egal,egal,stable,1,stable,1,stable,1
54220001,54220,Malzéville,49 Rue du Colonel Driant,48.705,6.192,Esso Express,1.878,1.875,2.022,hausse,baisse,egal,stable,1,stable,1,stable,1
54230001,54230,Neuves-Maisons,46 Rue du Capitaine Caillon,48.615,6.104,Esso Express,1.879,1.894,2.036,egal,egal,egal,stable,1,stable,1,stable,1
53410003,53410,LA GRAVELLE,2 route Neuve,48.074,-1.016,TotalEnergies,1.990,1.990,1.990,egal,egal,egal,stable,1,stable,1,stable,1
57600003,57600,Oeting,655 Rue de Sarreguemines,49.1747393,6.9179112,Esso,1.937,1.958,2.045,egal,egal,egal,stable,1,stable,1,stable,1
55160014,55160,HAUDIOMONT,AUTOROUTE A4 AIRE DE VERDUN SAINT NICOLAS NORD,49.120326,5.508398,Esso,1.964,2.001,2.120,baisse,baisse,baisse,stable,1,stable,1,stable,1
70130001,70130,Fresne-Saint-Mamès,"12, avenue des Peupliers",47.5506957,5.8571485,Avia,1.896,1.896,1.996,hausse,baisse,baisse,stable,1,stable,1,stable,1
59174002,59174,LA SENTINELLE,AUTOROUTE A2 - AIRE DE LA SENTINELLE OUEST,50.3395274,3.468736,Avia,2.037,1.990,1.990,hausse,egal,egal,stable,1,stable,1,stable,1
59130001,59130,Lambersart,237 Avenue de l'Hippodrome,50.645,3.029,Esso Express,1.858,1.868,1.948,egal,egal,egal,stable,1,stable,1,stable,1
59280001,59280,Armentières,20 Rue Gambetta,50.6827857,2.8825119,Esso,1.865,1.860,1.996,hausse,baisse,egal,stable,1,stable,1,stable,1
77230001,77230,Villeneuve-sous-Dammartin,ROUTE DE PARIS,49.033351,2.636005,Total,2.004,1.990,1.990,hausse,egal,egal,stable,1,stable,1,stable,1
30420002,30420,Calvisson,"2, rue du Levant",43.783121,4.2036,Système U,1.849,1.855,1.989,egal,egal,egal,stable,1,stable,1,stable,1
83600026,83600,Fréjus,959 avenue du Maréchal de Lattre de Tassigny,43.431001,6.75528,Eni,1.849,1.889,1.999,hausse,hausse,egal,stable,1,stable,1,stable,1
59440002,59440,Avesnes-sur-Helpe,39 AVENUE STROH,50.129,3.937,Esso Express,1.841,1.859,1.939,baisse,egal,egal,stable,1,stable,1,stable,1
59450002,59450,Sin-le-Noble,121 AVENUE ROGER SALENGRO,50.3635213,3.0979443,Esso Express,1.878,1.888,1.988,baisse,baisse,baisse,stable,1,stable,1,stable,1
38350005,38350,LA MURE,AVENUE DU 22 AOUT 1944,44.913,5.784,TotalEnergies,1.920,,,baisse,,,stable,1,stable,1,stable,1
44720005,44720,Saint-Joachim,PLACE DE LA COMMUNE DE PARIS,47.3851809,-2.2028539,Carrefour Contact,1.819,,1.959,egal,,egal,stable,1,stable,1,stable,1
50760001,50760,Barfleur,132 RUE ST THOMAS,49.666,-1.27,Carrefour Contact,1.869,1.902,,egal,egal,,stable,1,stable,1,stable,1
62560002,62560,Coyecques,26 RUE PRINCIPALE,50.571189,2.150657,Elan,1.980,,,egal,,,stable,1,stable,1,stable,1
20200006,20200,SAN-MARTINO-DI-LOTA,37 ROUTE DU CAP,42.7237229,9.4570854,Total,1.990,,,egal,,,stable,1,stable,1,stable,1
24340002,24340,Vieux-Mareuil,Lieu dit chez Noillac,45.447,0.467,Carrefour,1.869,,2.099,egal,,egal,stable,1,stable,1,stable,1
25110001,25110,BAUME-LES-DAMES,2 Avenue du Général Leclerc,47.352,6.358,Total Access,1.950,,,egal,,,stable,1,stable,1,stable,1
82700001,82700,Montech,171 Avenue d'Auch,43.956082,1.2257701,Total,1.949,,,egal,,,stable,1,stable,1,stable,1
93150009,93150,Le Blanc-Mesnil,140 AVENUE DE LA REPUBLIQUE,48.935,2.473,Total,1.996,1.990,1.990,hausse,egal,egal,stable,1,stable,1,stable,1
76630001,76630,ENVERMEU,72 RUE DES CANADIENS,49.8974214,1.2536578,Carrefour,1.859,,1.989,hausse,,hausse,stable,1,stable,1,stable,1
54670004,54670,CUSTINES,41 RUE DU GAL LECLERC,48.792845,6.145033,Total,1.984,1.982,1.990,hausse,baisse,egal,stable,1,stable,1,stable,1
14404001,14400,BAYEUX,Boulevard du 6 Juin,49.2766589,-0.7165803,E.Leclerc,1.829,1.842,1.947,egal,egal,egal,stable,1,stable,1,stable,1
56530001,56530,Quéven,Place Pierre Quinio,47.79,-3.421,E.Leclerc,1.819,1.839,1.919,egal,egal,egal,stable,1,stable,1,stable,1
38200007,38200,Vienne,ZA de la Gère,45.519,4.919,Intermarché,1.859,,1.979,egal,,egal,stable,1,stable,1,stable,1
18390004,18390,Saint-germain-du-puy,1 Place du 8 Mai 1945,47.099,2.489,Intermarché,1.909,1.909,,egal,egal,,stable,1,stable,1,stable,1
71170003,71170,Chauffailles,Route de Charlieu,46.207,4.314,Intermarché,1.799,1.869,1.969,baisse,hausse,egal,stable,1,stable,1,stable,1
